Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Pirates of the Caribbean: On Stranger Tides,1,137,PG-13,250,133,4164,90151958,241071802,33,54,2011,5,18.3170072267344,19.3369714758265,8.33423142973486,19.3006053806915
Fast Five,1,130,PG-13,125,105,3793,86198765,209837675,77,82,2011,4,18.2721664083851,18.6438242952666,8.2409125416889,19.1618448135911
Cars 2,1,113,G,200,175,4115,66135507,191452396,39,51,2011,6,18.0072163315503,19.1138279245123,8.32239411311117,19.0701497508262
Sherlock Holmes: A Game of Shadows,1,128,PG-13,125,112,3703,39637079,186848418,60,77,2011,12,17.4952755765172,18.6438242952666,8.21689858091361,19.0458082471754
Thor,1,115,PG-13,150,112,3963,65723338,181030624,77,76,2011,5,18.0009646410791,18.8261458520605,8.28475659319044,19.0141767682887
Rise of the Planet of the Apes,1,110,PG-13,93,132,3691,54806191,176760185,82,77,2011,8,17.8193137199897,18.3481100511175,8.21365270303,18.9903044848431
Captain America: The First Avenger,1,125,PG-13,140,112,3715,65058524,176654505,79,74,2011,7,17.9907977920014,18.7571529805736,8.22013395715186,18.9897064338501
The Help,1,137,PG-13,25,212,3014,26044590,169708112,76,89,2011,8,17.0753206270525,17.0343863828325,8.01102337918644,18.9495905310655
Bridesmaids,1,125,R,32.5,140,2958,26247410,169106725,90,76,2011,5,17.0830778754674,17.2967506473,7.99226864327075,18.9460405824453
Kung Fu Panda 2,1,91,PG,150,127,3952,47656302,165249063,81,74,2011,5,17.679525435353,18.8261458520605,8.28197705886776,18.9229643664833
Puss in Boots,1,90,PG,130,126,3963,34077439,149260504,84,68,2011,10,17.3441461103881,18.6830450084199,8.28475659319044,18.82120368632
X-Men: First Class,1,131,PG-13,160,119,3692,55101604,146408305,87,87,2011,6,17.8246893844072,18.8906843731981,8.21392359562274,18.8019098860246
Rio,1,96,G,90,147,3842,39225962,143619809,72,71,2011,4,17.4848493814579,18.3153202282945,8.2537483433285,18.7826801507472
The Smurfs,1,86,PG,110,140,3427,35611637,142614158,22,44,2011,7,17.3881830244304,18.5159909237567,8.13944052187461,18.7756533457285
Alvin and the Chipmunks: Chipwrecked,1,87,G,75,175,3734,23244744,133110742,12,52,2011,12,16.9615895999251,18.1329986715006,8.22523532410167,18.7066919863447
Super 8,1,112,PG-13,50,112,3424,35451168,127004179,82,75,2011,6,17.3836667582135,17.7275335633924,8.13856473726163,18.6597305493933
Rango,1,107,PG,135,125,3923,38079323,123477607,88,69,2011,3,17.4551819893681,18.7207853364027,8.27461194620955,18.6315703777538
Horrible Bosses,1,100,R,35,112,3134,28302165,117538559,69,70,2011,7,17.1584488614541,17.3708586194537,8.05006542291597,18.5822769994173
Green Lantern,1,105,PG-13,200,105,3816,53174303,116601172,26,46,2011,6,17.7890858113013,19.1138279245123,8.24695803256818,18.5742698832881
Hop,1,90,PG,63,77,3616,37543710,108085305,25,53,2011,4,17.4410164121564,17.9586452843558,8.19312372151207,18.4984313344235
Paranormal Activity 3,1,81,R,5,77,3329,52568183,104028807,68,51,2011,10,17.7776216087591,15.4249484703984,8.11042723757502,18.4601784091355
Just Go With It,1,110,PG-13,80,98,3548,30514732,103028109,19,60,2011,2,17.2337201413562,18.1975371926382,8.17413934342947,18.4505124118753
The Girl with the Dragon Tattoo (2011),1,160,R,90,93,2950,12768604,102515793,86,86,2011,12,16.3624999033173,18.3153202282945,7.98956044933387,18.4455274227227
Bad Teacher,1,89,R,20,112,3049,31603106,100292856,45,36,2011,6,17.2687659648661,16.8112428315183,8.02256894698825,18.4236050240744
Cowboys & Aliens,1,118,PG-13,163,98,3754,36431290,100240551,44,44,2011,7,17.4109385787339,18.909260758771,8.23057721714645,18.4230833653446
Gnomeo and Juliet,1,84,G,36,132,3037,25356909,99967670,55,55,2011,2,17.0485617952467,17.3990294964204,8.01862546504575,18.4203573916797
The Green Hornet,1,108,PG-13,120,97,3584,33526876,98780042,43,43,2011,1,17.3278579438065,18.6030023007463,8.18423477409482,18.4084061382639
The Muppets,1,120,PG,45,135,3440,29239026,88631237,96,80,2011,11,17.1910148817575,17.6221730477346,8.14322675036745,18.2999949155167
Real Steel,1,127,PG-13,110,133,3440,27319677,85468508,60,73,2011,10,17.1231177697566,18.5159909237567,8.14322675036745,18.2636585385724
"Crazy, Stupid, Love",1,107,PG-13,50,119,3020,19104303,84351197,78,77,2011,7,16.7654241556015,17.7275335633924,8.01301211036892,18.2504995577269
Battle: Los Angeles,1,116,PG-13,70,83,3417,35573187,83552429,35,48,2011,3,17.3871027378868,18.0640058000136,8.13651825211529,18.2409848849948
Immortals,0,110,R,75,105,3120,32206425,83504017,35,49,2011,11,17.2876765247718,18.1329986715006,8.04558828080353,18.2404052964484
Zookeeper,1,104,PG,80,112,3482,20065617,80360843,14,41,2011,7,16.8145183112727,18.1975371926382,8.15536212032814,18.2020375881497
Limitless,0,105,PG-13,27,112,2838,18907302,79249455,70,73,2011,3,16.7550587546226,17.1113474239686,7.95085485771999,18.1881110937264
Tower Heist,1,104,PG-13,75,91,3870,24025190,78046570,68,49,2011,11,16.9946134212181,18.1329986715006,8.26100978602383,18.1728162577717
The Adventures of Tintin,1,101,PG,130,93,3087,9720993,77591831,75,74,2011,12,16.0897983317124,18.6830450084199,8.03495502450216,18.1669727089936
Contagion,1,105,PG-13,60,98,3222,22403596,75658097,84,62,2011,9,16.9247320396551,17.9098551201864,8.07775756373692,18.1417350248571
We Bought a Zoo,1,124,PG,50,147,3170,9360434,75624550,66,72,2011,12,16.0520022149002,17.7275335633924,8.06148686687133,18.1412915238844
Moneyball,1,126,PG-13,50,133,3018,19501302,75605492,94,86,2011,9,16.7859917905358,17.7275335633924,8.01234963932779,18.1410394840138
Jack and Jill,1,91,PG,79,112,3438,25003575,74158157,3,38,2011,11,17.034529372609,18.1849584104313,8.1426451859428,18.121710627241
Hugo,1,127,PG,180,142,2608,11364505,73864507,94,78,2011,11,16.2460054595468,19.0084674088545,7.86633892304654,18.1177429863773
Dolphin Tale,1,112,PG,37,126,3515,19152401,72286779,82,81,2011,9,16.7679386443218,17.4264284706085,8.16479480424477,18.096151807337
No Strings Attached,1,110,R,25,77,3050,19652921,70662220,49,52,2011,1,16.7937365366315,17.0343863828325,8.02289686960146,18.07342161746
Mr. Popper's Penguins,1,95,PG,55,122,3342,18445355,68224452,48,54,2011,6,16.7303231352359,17.8228437431967,8.11432470915534,18.0383135922802
Happy Feet Two,1,105,PG,135,112,3611,21237068,64006466,46,61,2011,11,16.8712587033782,18.7207853364027,8.19174002127746,17.9744946674706
Unknown,1,109,PG-13,30,84,3043,21856389,63686397,55,55,2011,2,16.9000038395105,17.2167079396264,8.02059914989697,17.9694815498571
The Adjustment Bureau,1,99,PG-13,50.2,84,2847,21157730,62495645,72,67,2011,3,16.8675158813169,17.731525584662,7.95402108727804,17.9506074322789
Water for Elephants,1,120,PG-13,38,112,2820,16842353,58709717,60,70,2011,4,16.6394072838584,17.4530967176907,7.94449216393216,17.8881158077256
The Lincoln Lawyer,1,119,R,40,126,2707,13206453,58009200,83,81,2011,3,16.3962161317381,17.5043900120782,7.9035962896143,17.8761121766214
Friends with Benefits,1,120,R,35,63,2926,18622150,55802754,70,66,2011,7,16.7398622903869,17.3708586194537,7.98139158158007,17.8373337809723
I Am Number Four,1,104,PG-13,60,105,3156,19449893,55100437,33,58,2011,2,16.7833521267283,17.9098551201864,8.05706068196577,17.8246682051262
Source Code,0,94,PG-13,32,105,2971,14812094,54712227,92,81,2011,4,16.5109545672013,17.281246460764,7.99665387546261,17.8175977707499
New Year's Eve,1,117,PG-13,56,77,3505,13019180,54544638,7,46,2011,12,16.3819342127306,17.8408622486994,8.16194579946869,17.81452997027
Insidious,0,98,PG-13,1.5,161,2419,13271464,54009150,66,61,2011,4,16.4011267242623,14.2209756660724,7.79110951061003,17.8046640346189
Tyler Perry's Madea's Big Happy Family,1,105,PG-13,25,91,2288,25068677,53345287,38,74,2011,4,17.0371296965042,17.0343863828325,7.73543335249969,17.7922961906663
Diary of a Wimpy Kid: Rodrick Rules,1,96,PG,21,112,3169,23751502,52698535,48,62,2011,3,16.9831563285505,16.8600329956877,8.06117135969092,17.7800982142637
Footloose (2011),1,113,PG-13,24,91,3555,15556113,51802742,71,61,2011,10,16.5599642383096,16.9935643883122,8.17611034223734,17.7629536401917
The Dilemma,1,118,PG-13,70,49,2943,17816230,48475290,24,29,2011,1,16.6956203975801,18.0640058000136,7.98718474823347,17.6965647415403
Arthur Christmas,1,97,PG,85,51,3376,12068931,46462469,91,76,2011,11,16.3061450224572,18.2581618144546,8.12444685571585,17.6541554263827
Hall Pass,1,98,R,36,77,2950,13535374,45060734,34,41,2011,2,16.4208171127138,17.3990294964204,7.98956044933387,17.6235217822276
Soul Surfer,0,105,PG,18,104,2240,10601862,43853424,46,76,2011,4,16.1765402040332,16.7058823158604,7.71423114484909,17.5963633581126
Final Destination 5,1,95,R,40,63,3155,18031396,42587643,61,52,2011,8,16.7076250186936,17.5043900120782,8.05674377497531,17.5670746987385
The Ides of March,1,102,R,12.5,98,2199,10470143,40962534,85,73,2011,10,16.1640382408241,16.3412392022725,7.69575799055476,17.5281684020163
Hanna,0,111,PG-13,30,91,2545,12370549,40259119,72,66,2011,4,16.3308291249521,17.2167079396264,7.84188592898462,17.5108470951744
Something Borrowed,1,103,PG-13,35,84,2904,13945368,39046489,15,48,2011,5,16.4506579680824,17.3708586194537,7.97384437594469,17.4802635198365
Spy Kids: All the Time in the World,1,88,PG,27,119,3305,11644672,38538188,22,38,2011,8,16.2703592943088,17.1113474239686,8.10319175228579,17.467160203758
Scream 4,1,103,R,40,77,3314,18692090,38180928,58,55,2011,4,16.7436109976849,17.5043900120782,8.10591119798651,17.4578466818858
"Big Mommas: Like Father, Like Son",1,107,PG-13,32,98,2821,16300803,37915414,5,58,2011,2,16.6067249283673,17.281246460764,7.944846711002,17.4508682892188
Red Riding Hood,1,100,PG-13,42,77,3030,14005335,37662162,10,39,2011,3,16.4549488864188,17.5531801762476,8.01631789850342,17.4441664879363
In Time,1,109,PG-13,40,98,3127,12050368,37520095,36,51,2011,10,16.3046057568537,17.5043900120782,8.04782935745784,17.440387214082
Paul,1,100,R,40,63,2806,13043310,37412945,71,61,2011,3,16.3837859166081,17.5043900120782,7.93951526066241,17.4375273254927
J. Edgar,1,137,R,35,107,1985,11217324,37306030,43,45,2011,11,16.2329699269387,17.3708586194537,7.59337419312129,17.4346655337465
The Roommate,1,93,PG-13,16,48,2534,15002635,37300107,4,27,2011,2,16.5237364103056,16.5880992802041,7.83755436088108,17.4345067532426
Jumping the Broom,0,113,PG-13,6.6,56,2035,15215487,37295394,56,59,2011,5,16.5378243486879,15.7025802069967,7.6182510978767,17.4343803917344
The Change-Up,1,101,R,52,56,2913,13531115,37081475,25,47,2011,8,16.420502406212,17.7667542765457,7.97693875695943,17.4286280767273
30 Minutes or Less,1,83,R,28,49,2888,13330118,37053924,45,41,2011,8,16.4055365443288,17.1477150681395,7.96831950001272,17.4278848150294
Sucker Punch,1,120,PG-13,82,63,3033,19058199,36392502,23,47,2011,3,16.763007960645,18.2222298052285,8.01730750768858,17.4098733223773
Larry Crowne,1,99,PG-13,30,49,2976,13096065,35608245,35,41,2011,7,16.3878223613684,17.2167079396264,7.99833539595298,17.3880877701305
A Very Harold & Kumar 3D Christmas,1,89,R,19,70,2875,12954142,35061031,68,59,2011,11,16.37692614053,16.7599495371307,7.96380795323145,17.3726008437563
Drive (2011),0,103,R,15,146,2904,11340461,35060689,93,78,2011,9,16.2438875079949,16.5235607590665,7.97384437594469,17.3725910892894
50/50,0,99,R,8,91,2479,8644095,35014192,20,33,2011,9,15.9723869868308,15.8949520996441,7.81561053203519,17.3712640229809
Courageous,0,130,PG-13,2,119,1214,9112839,34522221,30,86,2011,9,16.0251948562532,14.5086577385242,7.10167597161944,17.3571137616231
The Rite,1,112,PG-13,37,70,2985,14789393,33047633,21,41,2011,1,16.5094207926007,17.4264284706085,8.0013550258267,17.3134605029378
Arthur (2011),1,110,PG-13,40,63,3276,12222756,33035397,26,45,2011,4,16.3188100181941,17.5043900120782,8.09437844497296,17.313090180931
The Debt,0,113,R,20,65,1874,9909499,31177548,77,66,2011,8,16.1090043500333,16.8112428315183,7.53583046279837,17.2552087783477
The Sitter,1,100,R,25,70,2752,9851435,30441326,21,40,2011,12,16.1031276878164,17.0343863828325,7.92008319905323,17.2313116511128
Priest,1,87,PG-13,60,41,2864,14953664,29136626,16,46,2011,5,16.5204669113849,17.9098551201864,7.95997452808054,17.1875065661663
The Mechanic,0,100,R,40,70,2704,11422006,29121498,53,51,2011,1,16.2510524035089,17.5043900120782,7.90248743716286,17.1869872222773
Abduction,1,106,PG-13,35,84,3118,10925253,28087155,4,43,2011,9,16.2065874565725,17.3708586194537,8.04494704961772,17.1508229123562
Beastly,0,95,PG-13,17,77,1959,9851102,27865571,21,48,2011,3,16.103093885063,16.6487239020205,7.58018941794454,17.142902470432
Winnie the Pooh,1,63,G,30,70,2405,7857076,26692846,90,80,2011,7,15.8769250850143,17.2167079396264,7.78530518253986,17.0999061473932
Killer Elite,0,100,R,70,56,2986,9352008,25124966,25,43,2011,9,16.0511016375657,18.0640058000136,8.00168997809914,17.0393725711088
Season of the Witch,0,98,PG-13,40,76,2827,10612375,24827228,10,31,2011,1,16.1775313309694,17.5043900120782,7.94697135769359,17.027451512106
Our Idiot Brother,1,90,R,5,91,2555,7011631,24816118,67,52,2011,8,15.7630808995656,15.4249484703984,7.84580750263781,17.0270039193839
Don't Be Afraid of the Dark,0,100,R,25,84,2780,8525728,24046682,58,34,2011,8,15.9585989733823,17.0343863828325,7.93020620668468,16.9955075824204
Monte Carlo,1,109,PG,20,90,2473,7453944,23186769,38,49,2011,7,15.8242538462483,16.8112428315183,7.81318726752142,16.9590923722285
Your Highness,1,102,R,49.9,42,2772,9360020,21596445,27,34,2011,4,16.0519579852036,17.7255315607217,7.92732436030979,16.8880392757757
Mars Needs Moms,1,88,PG,150,105,3117,6914488,21392758,37,41,2011,3,15.7491294784019,18.8261458520605,8.04462627976734,16.8785630115031
Dream House,1,92,PG-13,50,49,2664,8129355,21302340,6,36,2011,9,15.9109921425834,17.7275335633924,7.88758403166028,16.8743274838005
Conan the Barbarian (2011),1,112,R,90,49,3015,10021215,21295021,24,30,2011,8,16.1202149037549,18.3153202282945,8.01135510916129,16.873983847486
The Three Musketeers (2011),0,110,PG-13,75,70,3017,8674452,20374484,24,40,2011,10,15.9758927117731,18.1329986715006,8.01201823915906,16.8297938916171
The Eagle,0,114,PG-13,25,56,2296,8684464,19490041,39,41,2011,2,15.9770462401512,17.0343863828325,7.73892375743946,16.7854141751244
Shark Night 3D,0,95,PG-13,25,84,2848,8404260,18877153,17,22,2011,9,15.9442492781172,17.0343863828325,7.95437227253187,16.7534629128195
Fright Night (2011),1,106,R,30,84,3114,7714388,18302607,72,59,2011,8,15.8585977146446,17.2167079396264,8.04366335239394,16.7225540666817
Apollo 18,1,86,PG-13,5,84,3330,8704271,17687709,24,23,2011,9,15.9793243827035,15.4249484703984,8.11072758297449,16.6883805495523
The Thing (2011),1,103,R,38,35,2996,8493665,16928670,35,43,2011,10,15.9548311494732,17.4530967176907,8.00503334463711,16.644519192252
Judy Moody and the NOT Bummer Summer,0,91,PG,20,70,2524,6076859,15013650,19,41,2011,6,15.6199985086104,16.8112428315183,7.8336002236611,16.5244703452675
What's Your Number?,1,106,R,20,56,3011,5421669,14011084,23,44,2011,9,15.5059142595934,16.8112428315183,8.01002752848173,16.4553592886248
One Day,0,107,PG-13,15,35,1725,5079566,13843771,36,49,2011,8,15.4407363828342,16.5235607590665,7.45298232946546,16.4433459421386
Warrior,1,139,PG-13,25,56,1883,5242107,13657115,83,92,2011,9,15.4722340747136,17.0343863828325,7.54062152865715,16.4297711892153
The Tree of Life,1,138,PG-13,32,154,237,372920,13303319,84,60,2011,5,12.8291191984106,17.281246460764,5.46806014113513,16.403524110932
The Rum Diary,0,120,R,45,56,2292,5135369,13109815,50,36,2011,10,15.4516622585488,17.6221730477346,7.73718007783463,16.3888717442749
Glee The 3D Concert Movie,1,100,PG,9,49,2040,5961231,11862398,60,65,2011,8,15.6007875613385,16.0127351353005,7.62070508683826,16.2888841233386
The Conspirator,0,122,PG-13,25,154,849,3506602,11538204,55,62,2011,4,15.0701580353711,17.0343863828325,6.74405918631135,16.2611741743499
Jane Eyre,0,121,PG-13,,126,319,182885,11242660,84,76,2011,3,12.1166128189874,,5.76519110278484,16.2352260292358
Drive Angry,0,104,R,50,56,2290,5187625,10721033,45,37,2011,2,15.4617865396163,17.7275335633924,7.73630709654829,16.1877180709047
Straw Dogs (2011),1,105,R,25,27,2408,5123760,10324441,41,34,2011,9,15.4493991024943,17.0343863828325,7.78655180642871,16.1500245549099
Win Win,1,106,R,,126,388,150362,10179275,94,85,2011,3,11.9208009989996,,5.96100533962327,16.1358643484759
Hoodwinked Too! Hood vs. Evil,1,85,PG,30,84,2505,4108630,10143779,11,36,2011,4,15.2286001975712,17.2167079396264,7.82604401351897,16.1323711691442
Prom,1,103,PG,8,56,2730,4712638,10130219,36,40,2011,4,15.3657583941293,15.8949520996441,7.91205688817901,16.1310334949448
I Don't Know How She Does It,1,95,PG-13,24,70,2490,4402201,9662284,17,32,2011,9,15.2976152010893,16.9935643883122,7.82003798945875,16.0837406171648
Johnny English Reborn,1,101,PG,45,35,1554,3833300,8305970,39,45,2011,10,15.1592366089754,17.6221730477346,7.34858753092759,15.9324850913195
Kevin Hart: Laugh at My Pain,0,89,R,0.8,98,287,1908420,7706436,71,85,2011,9,14.4617862325524,13.5923670066501,5.65948221575962,15.8575663818566
The Big Year,1,100,PG,41,48,2150,3251884,7204138,40,40,2011,10,14.9947450786569,17.5290826246686,7.67322312112171,15.7901661411189
Take Me Home Tonight,0,114,R,19,49,2003,3464679,6928068,28,42,2011,3,15.0581305456221,16.7599495371307,7.60240133566582,15.7510915444187
Cedar Rapids,1,86,R,,105,462,302968,6861102,85,60,2011,2,12.6213824683533,,6.13556489108174,15.7413786282
Beginners,0,104,R,3.2,98,170,141340,5790894,84,77,2011,6,11.8589236142448,14.97866136777,5.13579843705026,15.5717972417752
Margin Call,0,109,R,3.5,119,199,561906,5354039,88,74,2011,10,13.2390898550999,15.0682735264596,5.29330482472449,15.4933617873093
Atlas Shrugged: Part I,0,102,PG-13,20,35,465,1686347,4627375,11,70,2011,4,14.3380752089416,16.8112428315183,6.14203740558736,15.3475003106392
The Company Men,1,105,R,15,119,277,647797,4441272,67,55,2011,1,13.3813326546497,16.5235607590665,5.62401750618734,15.3064513798655
Barney's Version (U.S. only),1,132,R,30,161,281,65241,4439201,80,79,2011,1,11.0858433846371,17.2167079396264,5.63835466933375,15.3059849632596
The Way,0,115,PG-13,,161,283,110418,4430765,82,83,2011,10,11.6120284430133,,5.64544689764324,15.304082813343
Seven Days in Utopia,0,98,G,7.5,63,561,1316910,4373074,14,69,2011,9,14.0907986412605,15.8304135785065,6.3297209055227,15.2909767522734
Shame,1,99,NC-17,6.5,105,95,349519,3909002,79,75,2011,12,12.7643132025546,15.6873127348659,4.55387689160054,15.1787926564148
Like Crazy,0,89,PG-13,0.3,77,162,123140,3395391,73,61,2011,10,11.7210771984652,12.6115377536383,5.08759633523238,15.0379294817102
From Prada to Nada,1,107,PG-13,7,63,261,1115638,3033623,21,41,2011,1,13.9249369965433,15.7614207070196,5.56452040732269,14.9252681727652
Martha Marcy May Marlene,1,120,R,1,69,183,137651,2990625,90,71,2011,10,11.8324767753464,13.8155105579643,5.20948615284142,14.9109929536235
Everything Must Go,0,100,R,5,126,245,791676,2711643,75,53,2011,5,13.581907496187,15.4249484703984,5.50125821054473,14.8130652822094
The Way Back,0,119,PG-13,30,42,678,1218868,2701859,75,72,2011,1,14.0134331171202,17.2167079396264,6.5191472879404,14.8094506125729
Carnage (2011),1,79,R,25,140,494,79795,2547047,71,66,2011,12,11.2872161248333,17.0343863828325,6.20253551718792,14.7504452068734
Bucky Larson: Born to Be a Star,1,96,R,10,14,1500,1415023,2529395,0,25,2011,9,14.1626563433443,16.1180956509583,7.3132203870903,14.7434907016727
The Grace Card,0,90,PG-13,0.2,56,352,1010299,2430735,35,82,2011,2,13.8257568846103,12.2060726455302,5.8636311755981,14.703704238718
The Mighty Macs,0,102,G,7,42,975,963221,1891936,46,64,2011,10,13.7780381556246,15.7614207070196,6.88243747099785,14.4531112013833
A Better Life,0,97,PG-13,10,70,216,62087,1759252,84,79,2011,6,11.0362919062324,16.1180956509583,5.37527840768417,14.3803992766762
We Need to Talk About Kevin,0,112,R,7,164,80,24587,1738692,76,78,2011,12,10.1099731269542,15.7614207070196,4.38202663467388,14.3686436643665
Take Shelter,1,120,R,5,175,91,52041,1730296,92,81,2011,9,10.8597871484295,15.4249484703984,4.51085950651685,14.3638030501042
The Art of Getting By,1,84,PG-13,5,28,610,679160,1430241,18,47,2011,6,13.4286120194299,15.4249484703984,6.41345895716736,14.1733535195048
Another Earth,1,92,PG-13,0.1,77,94,77740,1321194,63,66,2011,7,11.2611252044062,11.5129254649702,4.54329478227,14.0940464311624
Kill the Irishman,0,106,R,12,112,56,145430,1188194,63,68,2011,3,11.8874501501718,16.3004172077523,4.02535169073515,13.9879450652361
Dylan Dog: Dead of Night,0,107,PG-13,20,21,875,754779,1186538,8,29,2011,4,13.5341802701499,16.8112428315183,6.77422388635761,13.9865503813152
The Whistleblower,0,112,R,,84,70,61002,1124966,74,71,2011,8,11.0186619295032,,4.24849524204936,13.9332633709417
Red State,0,97,R,4,104,5,204230,1104682,58,55,2011,3,12.2270020887112,15.2018049190842,1.6094379124341,13.9150680687111
There Be Dragons,0,120,PG-13,36,28,259,705537,1069334,11,55,2011,5,13.4667144939742,17.3990294964204,5.55682806169954,13.8825465827416
Attack the Block,1,88,R,13,63,66,139506,1024175,90,74,2011,7,11.8458628900713,16.3804599154258,4.18965474202643,13.8393979684176
Meek's Cutoff,0,104,PG,2,140,45,20024,977772,85,54,2011,4,9.90468683311161,14.5086577385242,3.80666248977032,13.7930317930039
The Beaver,0,91,PG-13,21,56,168,107577,970816,60,56,2011,5,11.5859621492142,16.8600329956877,5.12396397940326,13.7858922339513
Higher Ground,1,109,R,2,133,81,21495,841733,80,63,2011,8,9.97557562893038,14.5086577385242,4.39444915467244,13.6432181407992
Pariah,0,86,R,0.5,79,24,48579,769552,94,82,2011,12,10.7909466177416,13.1223633774043,3.17805383034795,13.5535638063262
Hobo With a Shotgun,0,86,Unrated,3,98,21,12046,703372,66,58,2011,5,9.39648793360367,14.9141228466324,3.04452243772342,13.4636411915763
Terri,0,105,R,,84,36,65103,655802,86,60,2011,7,11.0837259100842,,3.58351893845611,13.3936141930983
Machine Gun Preacher,0,123,R,30,70,93,45130,538690,29,63,2011,9,10.717302492821,17.2167079396264,4.53259949315326,13.1968955452886
Creature (2011),0,93,R,3,7,1507,327000,508714,11,16,2011,9,12.6977154498794,14.9141228466324,7.3178761986265,13.1396412515645
Weekend (2011),0,97,Unrated,0.2,69,26,27245,484592,95,86,2011,9,10.2126252970172,12.2060726455302,3.25809653802148,13.0910625787677
Submarine,1,97,R,,77,28,41832,467602,86,81,2011,6,10.641416875868,,3.3322045101752,13.0553727857309
The 5th Quarter,0,101,PG-13,6,21,123,202342,408159,40,63,2011,3,12.2177146140641,15.6072700271923,4.81218435537242,12.919412083353
Hesher,0,109,R,7,84,42,126046,382946,54,61,2011,5,11.7444021986734,15.7614207070196,3.73766961828337,12.8556492660554
Mooz-lum,0,99,PG-13,1.5,49,21,139835,369129,78,78,2011,2,11.8482184351014,14.2209756660724,3.04452243772342,12.818901455425
The First Grader,0,103,PG-13,,83,36,20437,332306,59,77,2011,5,9.92510226250854,,3.58351893845611,12.7138115101532
Super,0,90,R,2.5,55,39,46549,327716,49,55,2011,4,10.7482608001973,14.7318012898384,3.66356164612965,12.6999026586399
Marvel's The Avengers,1,142,PG-13,220,154,4349,207438708,623357910,92,91,2012,5,19.1503464708683,19.2091381043166,8.37770121259764,20.250631406175
